domain,hook,method,route,consumerFile,openapiStatus,classification,recommendation,kind
inventory-purchasing,useDeleteAdminIngredient,DELETE,"/api/admin/ingredients/${id}/stock-in",lib/api-client-react/src/generated/api.ts,missing,manual-hook-pending-contract,contract-candidate,manual-hook
inventory-purchasing,useCreateAdminIngredient,POST,"/api/admin/ingredients/${id}",lib/api-client-react/src/generated/api.ts,missing,manual-hook-pending-contract,contract-candidate,manual-hook
inventory-purchasing,useUpdateAdminIngredient,PATCH,"/api/admin/ingredients/${id}",lib/api-client-react/src/generated/api.ts,missing,manual-hook-pending-contract,contract-candidate,manual-hook
inventory-purchasing,,GET,"/api/admin/ingredients",artifacts/piccolo-tpv/src/pages/pedidos-compra.tsx,missing,app-http-pending-contract,contract-candidate,direct-customFetch
inventory-purchasing,,GET,"/api/admin/ingredients",artifacts/piccolo-tpv/src/pages/proveedores.tsx,missing,app-http-pending-contract,contract-candidate,direct-customFetch
inventory-purchasing,,GET,"/api/admin/ingredients",artifacts/piccolo-tpv/src/pages/recepcion-mercancia.tsx,missing,app-http-pending-contract,contract-candidate,direct-customFetch
inventory-purchasing,,GET,"/api/admin/ingredients",artifacts/piccolo-tpv/src/pages/revision-factura.tsx,missing,app-http-pending-contract,contract-candidate,direct-customFetch
inventory-purchasing,useImportProducts,POST,"/api/admin/ingredients",lib/api-client-react/src/generated/api.ts,missing,manual-hook-pending-contract,contract-candidate,manual-hook
inventory-purchasing,,GET,"/api/admin/purchase-order-items/",artifacts/piccolo-tpv/src/pages/pedidos-compra.tsx,missing,app-http-pending-contract,contract-candidate,direct-customFetch
inventory-purchasing,,GET,"/api/admin/purchase-orders/",artifacts/piccolo-tpv/src/pages/conciliacion-documental.tsx,missing,app-http-pending-contract,contract-candidate,direct-customFetch
inventory-purchasing,,GET,"/api/admin/purchase-orders/",artifacts/piccolo-tpv/src/pages/pedidos-compra.tsx,missing,app-http-pending-contract,contract-candidate,direct-customFetch
inventory-purchasing,,GET,"/api/admin/purchase-orders/",artifacts/piccolo-tpv/src/pages/recepcion-mercancia.tsx,missing,app-http-pending-contract,contract-candidate,direct-customFetch
inventory-purchasing,,GET,"/api/admin/purchase-orders/proposal",artifacts/piccolo-tpv/src/pages/pedidos-compra.tsx,missing,app-http-pending-contract,contract-candidate,direct-customFetch
inventory-purchasing,,GET,"/api/admin/purchase-orders",artifacts/piccolo-tpv/src/pages/conciliacion-factura.tsx,missing,app-http-pending-contract,contract-candidate,direct-customFetch
inventory-purchasing,,GET,"/api/admin/purchase-orders",artifacts/piccolo-tpv/src/pages/pedidos-compra.tsx,missing,app-http-pending-contract,contract-candidate,direct-customFetch
inventory-purchasing,,GET,"/api/admin/purchase-orders",artifacts/piccolo-tpv/src/pages/recepcion-mercancia.tsx,missing,app-http-pending-contract,contract-candidate,direct-customFetch
inventory-purchasing,useGetAdminPurchaseOrders,GET,"/api/admin/purchase-orders",lib/api-client-react/src/generated/api.ts,missing,manual-hook-pending-contract,contract-candidate,manual-hook
inventory-purchasing,useGetAdminPurchaseReportsBySupplier,GET,"/api/admin/purchase-reports/by-supplier",lib/api-client-react/src/generated/api.ts,missing,manual-hook-pending-contract,contract-candidate,manual-hook
